# Fujinomori clay test results

     sr        ea        er       lnp        ev     de         e     lne # header
0.50000  -0.00300   0.00200  -0.69315   0.00001   0.00   0.78328   -0.24
0.64000   0.03400   0.08300  -0.44629   0.00200   0.00   0.77971   -0.25
0.70000   0.06300   0.16900  -0.35667   0.00401  -0.01   0.77613   -0.25
0.78000   0.13700   0.33200  -0.24846   0.00801  -0.01   0.76900   -0.26
0.87000   0.20800   0.49700  -0.13926   0.01202  -0.02   0.76184   -0.27
0.96000   0.28400   0.65800  -0.04082   0.01600  -0.03   0.75475   -0.28 # <<< look at this
1.07000   0.36400   0.81900   0.06766   0.02002  -0.04   0.74758   -0.29
1.19000   0.45700   0.97200   0.17395   0.02401  -0.04   0.74046   -0.30

# comments plus new lines are OK

1.32000   0.55000   1.12600   0.27763   0.02802  -0.05   0.73331   -0.31
1.46000   0.62700   1.28700   0.37844   0.03201  -0.06   0.72620   -0.32

# bye
