
running dopri5.f test
step(A) =    1, err =  1.296464663661232E-04, h_new =  2.851498799828624E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    2, err =  2.154808513298955E-02, h_new =  3.444662315267757E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    3, err =  4.641537941189766E-02, h_new =  4.481186168284893E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    4, err =  1.300205094695082E-01, h_new =  5.045682925517511E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    5, err =  1.638798157695572E-01, h_new =  5.691852147157127E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    6, err =  1.953077508608763E-01, h_new =  6.290060562224797E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    7, err =  2.037616912397756E-01, h_new =  6.949847649056909E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    8, err =  2.098121549295829E-01, h_new =  7.653700888000884E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =    9, err =  2.094489828036394E-01, h_new =  8.441194697533934E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   10, err =  2.043646647710456E-01, h_new =  9.348040168659195E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   11, err =  1.958605808568633E-01, h_new =  1.041713554534016E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   12, err =  1.867806015283810E-01, h_new =  1.168267526938489E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   13, err =  1.784989570478211E-01, h_new =  1.317831910094379E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   14, err =  1.713743477920451E-01, h_new =  1.494160212667347E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   15, err =  1.651983995573856E-01, h_new =  1.701909715834980E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   16, err =  1.598307271494841E-01, h_new =  1.946601320501096E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   17, err =  1.548855195511171E-01, h_new =  2.235445546125211E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   18, err =  1.502839942980045E-01, h_new =  2.577103574694174E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   19, err =  1.459632473922305E-01, h_new =  2.982150066663001E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   20, err =  1.419097561700171E-01, h_new =  3.463376142970893E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   21, err =  1.381058593862838E-01, h_new =  4.036329414628691E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   22, err =  1.345336641969437E-01, h_new =  4.719938407830495E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   23, err =  1.311708636182164E-01, h_new =  5.537321319099569E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   24, err =  1.279946367901294E-01, h_new =  6.516781032515856E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   25, err =  1.249836646331388E-01, h_new =  7.693044698128378E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   26, err =  1.221206561857271E-01, h_new =  9.108791127380986E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   27, err =  1.193944038746160E-01, h_new =  1.081651963263788E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   28, err =  1.168020495540477E-01, h_new =  1.288079986329772E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   29, err =  1.143515180499088E-01, h_new =  1.538091710421759E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   30, err =  1.120637771818752E-01, h_new =  1.841388068358573E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   31, err =  1.099734920707503E-01, h_new =  2.209772078451624E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   32, err =  1.081253443642000E-01, h_new =  2.657503445099456E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   33, err =  1.060207988092988E-01, h_new =  3.204475559199388E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   34, err =  1.047664155510231E-01, h_new =  3.868809640221671E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   35, err =  1.050191701058794E-01, h_new =  4.666734516783002E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   36, err =  1.061519573881847E-01, h_new =  5.619511791381283E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   37, err =  1.129641636507217E-01, h_new =  6.698511372187405E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   38, err =  1.490676458558739E-01, h_new =  7.635953223325946E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   39, err =  2.552125339676862E-01, h_new =  8.032814990553558E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   40, err =  3.915024696506432E-01, h_new =  8.028261090842825E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   41, err =  5.175985420975771E-01, h_new =  7.783851825904252E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   42, err =  6.092736849372453E-01, h_new =  7.422986653963178E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   43, err =  6.609447309720450E-01, h_new =  7.027253352793006E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   44, err =  6.848737581756343E-01, h_new =  6.634083557012435E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   45, err =  7.001897671449597E-01, h_new =  6.248290150325034E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   46, err =  7.051668328685314E-01, h_new =  5.883052299790132E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   47, err =  6.890558376853408E-01, h_new =  5.562546352740977E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   48, err =  6.296642823202815E-01, h_new =  5.335778455164855E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   49, err =  5.462361627332699E-01, h_new =  5.224563170634317E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   50, err =  4.615041174526378E-01, h_new =  5.234532051912473E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   51, err =  3.901163295168728E-01, h_new =  5.360241959578553E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   52, err =  3.312625460215473E-01, h_new =  5.605900325812620E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   53, err =  2.947697247096200E-01, h_new =  5.941316463041803E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   54, err =  2.847043236557166E-01, h_new =  6.304599735557324E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   55, err =  2.858210232378161E-01, h_new =  6.676360554079146E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =   56, err =  2.858704446985239E-01, h_new =  7.070942164522676E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
