
running dopri5.f test
step =   0, x = 0.00, y =  1.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
step =   1, x = 0.00, y =  9.999999600000008E-01  3.999998320000817E-08  1.599999184000402E-14
step =   2, x = 0.00, y =  9.999995600000968E-01  4.399786084436343E-07  2.129475617369957E-11
step =   3, x = 0.00, y =  9.999955600098782E-01  4.418236742772529E-06  2.175337903903183E-08
step =   4, x = 0.00, y =  9.999767456846284E-01  2.054873906679896E-05  2.705576304823573E-06
step =   5, x = 0.00, y =  9.999524065410368E-01  3.150278153038586E-05  1.609067743275600E-05
step =   6, x = 0.00, y =  9.999232470330851E-01  3.543754705031356E-05  4.131541986451330E-05
step =   7, x = 0.00, y =  9.998897527446059E-01  3.631428719674555E-05  7.393296819731114E-05
step =   8, x = 0.00, y =  9.998450659828790E-01  3.645309781430661E-05  1.184809193066630E-04
step =   9, x = 0.01, y =  9.997857040267886E-01  3.644485762380736E-05  1.778511155876718E-04
step =  10, x = 0.01, y =  9.997088296443079E-01  3.626683153964433E-05  2.549035241525512E-04
step =  11, x = 0.01, y =  9.996468169345338E-01  3.616544155587439E-05  3.170176239103529E-04
step =  12, x = 0.01, y =  9.995855124677069E-01  3.602241559077125E-05  3.784651167024343E-04
step =  13, x = 0.01, y =  9.995275296648422E-01  3.598736239651928E-05  4.364829727614197E-04
step =  14, x = 0.01, y =  9.994726881734725E-01  3.610762726748340E-05  4.912041992601934E-04
step =  15, x = 0.01, y =  9.994177884096247E-01  3.620200952464154E-05  5.460095808508388E-04
step =  16, x = 0.02, y =  9.993596707164227E-01  3.620445278775705E-05  6.041248307897313E-04
step =  17, x = 0.02, y =  9.992982338757792E-01  3.611687410501441E-05  6.656492501159886E-04
step =  18, x = 0.02, y =  9.992366407859949E-01  3.596186309862819E-05  7.273973509065962E-04
step =  19, x = 0.02, y =  9.991783604581322E-01  3.589796939746057E-05  7.857415724704315E-04
step =  20, x = 0.02, y =  9.991237095982611E-01  3.602141403627471E-05  8.402689877026988E-04
step =  21, x = 0.02, y =  9.990695129080451E-01  3.613516960431551E-05  8.943519223506349E-04
step =  22, x = 0.02, y =  9.990121379727385E-01  3.615043636198613E-05  9.517115908995828E-04
step =  23, x = 0.03, y =  9.989509612084604E-01  3.607083492079624E-05  1.012967956618885E-03
step =  24, x = 0.03, y =  9.988890632115257E-01  3.590694939460904E-05  1.075029839079754E-03
step =  25, x = 0.03, y =  9.988303945899557E-01  3.580989186379223E-05  1.133795518180564E-03
step =  26, x = 0.03, y =  9.987758356422740E-01  3.593104122825736E-05  1.188233316497829E-03
step =  27, x = 0.03, y =  9.987223225313213E-01  3.606615970658697E-05  1.241611308972170E-03
step =  28, x = 0.03, y =  9.986657655061216E-01  3.609571271904433E-05  1.298138781159428E-03
step =  29, x = 0.04, y =  9.986049489503434E-01  3.602588084821912E-05  1.359025168808539E-03
step =  30, x = 0.04, y =  9.985427691074369E-01  3.585729041157973E-05  1.421373602151591E-03
step =  31, x = 0.04, y =  9.984836300802851E-01  3.572416462507938E-05  1.480645755089950E-03
step =  32, x = 0.04, y =  9.984290529464225E-01  3.583565240062414E-05  1.535111401177010E-03
step =  33, x = 0.04, y =  9.983761877816723E-01  3.599425172932388E-05  1.587817966598509E-03
step =  34, x = 0.04, y =  9.983205210597629E-01  3.603989348544007E-05  1.643439046751815E-03
step =  35, x = 0.04, y =  9.982601808210434E-01  3.598138273095367E-05  1.703837796225801E-03
step =  36, x = 0.05, y =  9.981977655437617E-01  3.581270027630977E-05  1.766421755962139E-03
