
running dopri5.f test
step(A) =    1, err =  3.727760587956869E-06, h_new =  5.213103498972100E-04, n_yes =   0, n_no =   1, h*lambda =  9.997470703048382E-02
step(A) =    2, err =  1.240953492473138E-02, h_new =  6.845425066468906E-04, n_yes =   0, n_no =   2, h*lambda =  5.212932725594240E-01
step(A) =    3, err =  2.688194416514796E-02, h_new =  9.558391963414619E-04, n_yes =   0, n_no =   3, h*lambda =  6.844363978402807E-01
step(A) =    4, err =  7.358690218532347E-02, h_new =  1.159977816134844E-03, n_yes =   0, n_no =   4, h*lambda =  9.551832656577894E-01
step(A) =    5, err =  7.734184510533144E-02, h_new =  1.453227956747536E-03, n_yes =   0, n_no =   5, h*lambda =  1.158113848815346E+00
step(A) =    6, err =  8.155247362351542E-02, h_new =  1.807875507561472E-03, n_yes =   0, n_no =   6, h*lambda =  1.449058825392334E+00
step(A) =    7, err =  6.439628755218164E-02, h_new =  2.346184573138853E-03, n_yes =   0, n_no =   7, h*lambda =  1.799776360945848E+00
step(A) =    8, err =  5.074827815250559E-02, h_new =  3.140779839550399E-03, n_yes =   0, n_no =   8, h*lambda =  2.330763902743438E+00
step(A) =    9, err =  5.307555787744915E-02, h_new =  4.132994048947248E-03, n_yes =   0, n_no =   9, h*lambda =  3.111350910805671E+00
step(A) =   10, err =  1.828230653840881E-01, h_new =  4.415275469091488E-03, n_yes =   1, n_no =   0, h*lambda =  4.079076160810598E+00
step(A) =   11, err =  9.983777781302734E-01, h_new =  3.713653838225876E-03, n_yes =   2, n_no =   0, h*lambda =  4.340439785241045E+00
step(R) =   12, err =  1.958559439663303E+00, h_new =  2.981361783324316E-03
step(A) =   13, err =  5.429798041880982E-01, h_new =  2.976567673113339E-03, n_yes =   2, n_no =   1, h*lambda =  2.922935427793524E+00
step(A) =   14, err =  2.604231783693373E-01, h_new =  3.286124999538735E-03, n_yes =   2, n_no =   2, h*lambda =  2.910250138596906E+00
step(A) =   15, err =  2.185708904414213E-01, h_new =  3.629301761792994E-03, n_yes =   2, n_no =   3, h*lambda =  3.203240293388239E+00
step(A) =   16, err =  3.190115285501510E-01, h_new =  3.732520464824205E-03, n_yes =   3, n_no =   0, h*lambda =  3.525998778095849E+00
step(A) =   17, err =  5.522585322536945E-01, h_new =  3.550035927656333E-03, n_yes =   4, n_no =   0, h*lambda =  3.613863991483097E+00
step(A) =   18, err =  7.044683881386191E-01, h_new =  3.311498010544673E-03, n_yes =   5, n_no =   0, h*lambda =  3.425947123552543E+00
step(A) =   19, err =  5.762683559805580E-01, h_new =  3.227566930142037E-03, n_yes =   5, n_no =   1, h*lambda =  3.185913475885057E+00
step(A) =   20, err =  3.923779967127298E-01, h_new =  3.331294038260041E-03, n_yes =   5, n_no =   2, h*lambda =  3.095782642831596E+00
step(A) =   21, err =  3.150183898294197E-01, h_new =  3.514686219593283E-03, n_yes =   5, n_no =   3, h*lambda =  3.185287472114879E+00
step(A) =   22, err =  3.399300730445723E-01, h_new =  3.628492873521982E-03, n_yes =   6, n_no =   0, h*lambda =  3.349542976403127E+00
step(A) =   23, err =  4.377868682190470E-01, h_new =  3.599230854914461E-03, n_yes =   7, n_no =   0, h*lambda =  3.446184457471084E+00
step(A) =   24, err =  5.314409248835892E-01, h_new =  3.489597785948117E-03, n_yes =   8, n_no =   0, h*lambda =  3.406762217146414E+00
step(A) =   25, err =  5.258363701584914E-01, h_new =  3.415792466049110E-03, n_yes =   9, n_no =   0, h*lambda =  3.292033490403043E+00
step(A) =   26, err =  4.464080548569233E-01, h_new =  3.436477991049893E-03, n_yes =   9, n_no =   1, h*lambda =  3.211875898655271E+00
step(A) =   27, err =  3.833585347442178E-01, h_new =  3.524783801346556E-03, n_yes =   9, n_no =   2, h*lambda =  3.220655297222187E+00
step(A) =   28, err =  3.745240530606989E-01, h_new =  3.607676997473170E-03, n_yes =  10, n_no =   0, h*lambda =  3.292190171398073E+00
