
running radau5.f test
step =     1, newt =     1, ldw =  5.713237318584357E-06, h =  1.000000000000000E-06
step =     2, newt =     1, ldw =  9.549126037412026E-10, h =  8.000000000000000E-06
step =     3, newt =     1, ldw =  1.411225368093479E-09, h =  6.400000000000000E-05
step =     4, newt =     1, ldw =  4.107820729177997E-05, h =  5.120000000000000E-04
step =     5, newt =     1, ldw =  7.224709706504758E-01, h =  4.096000000000000E-03
step =     5, newt =     2, ldw =  5.688537757868064E+01, h =  4.096000000000000E-03
step =     6, newt =     1, ldw =  5.535184873124125E-03, h =  2.048000000000000E-03
step =     7, newt =     1, ldw =  2.183312157030154E-01, h =  2.048000000000000E-03
step =     7, newt =     2, ldw =  7.939700994471953E+00, h =  2.048000000000000E-03
step =     8, newt =     1, ldw =  2.064385209638172E-02, h =  1.024000000000000E-03
step =     9, newt =     1, ldw =  1.851306702909944E+00, h =  1.024000000000000E-03
step =     9, newt =     2, ldw =  3.418799139260299E+02, h =  1.024000000000000E-03
step =    10, newt =     1, ldw =  1.511872801837098E+00, h =  5.120000000000000E-04
step =    10, newt =     2, ldw =  5.326319204855027E+02, h =  5.120000000000000E-04
step =    11, newt =     1, ldw =  2.833630003431720E-02, h =  2.560000000000000E-04
step =    12, newt =     1, ldw =  7.979474595973187E-01, h =  1.353638004698506E-04
step =    12, newt =     2, ldw =  1.318080076252194E+01, h =  1.353638004698506E-04
step =    13, newt =     1, ldw =  6.269531353017967E-01, h =  6.768190023492531E-05
step =    13, newt =     2, ldw =  7.885583465270912E+00, h =  6.768190023492531E-05
step =    14, newt =     1, ldw =  9.452759342115000E-02, h =  3.384095011746265E-05
step =    14, newt =     2, ldw =  3.703456575081365E-02, h =  3.384095011746265E-05
step =    15, newt =     1, ldw =  9.463250538414410E-02, h =  7.988264928689847E-06
step =    15, newt =     2, ldw =  1.982352214305149E-02, h =  7.988264928689847E-06
step =    16, newt =     1, ldw =  3.239954519684029E-01, h =  5.459710401864838E-06
step =    16, newt =     2, ldw =  2.855394028537098E-01, h =  5.459710401864838E-06
step =    17, newt =     1, ldw =  5.515365612136778E-02, h =  3.003522188684837E-06
step =    17, newt =     2, ldw =  7.214712288998376E-03, h =  3.003522188684837E-06
step =    18, newt =     1, ldw =  3.507451382571531E-01, h =  3.003522188684837E-06
step =    18, newt =     2, ldw =  2.488057505052997E-01, h =  3.003522188684837E-06
step =    19, newt =     1, ldw =  7.456625523051499E-02, h =  1.958863891378516E-06
step =    19, newt =     2, ldw =  1.437519505685940E-02, h =  1.958863891378516E-06
step =    20, newt =     1, ldw =  1.129088123582558E+00, h =  1.958863891378516E-06
step =    20, newt =     2, ldw =  1.305205610034040E+00, h =  1.958863891378516E-06
step =    21, newt =     1, ldw =  9.429573341040615E-02, h =  9.794319456892581E-07
step =    21, newt =     2, ldw =  1.277908234480324E-02, h =  9.794319456892581E-07
step =    22, newt =     1, ldw =  7.611003462011605E-01, h =  9.794319456892581E-07
step =    22, newt =     2, ldw =  4.432618501215841E-01, h =  9.794319456892581E-07
step =    23, newt =     1, ldw =  2.239261385144834E-01, h =  7.034057509052370E-07
step =    23, newt =     2, ldw =  4.821643905194671E-02, h =  7.034057509052370E-07
step =    24, newt =     1, ldw =  2.016291416784896E+00, h =  5.891577599495123E-07
step =    24, newt =     2, ldw =  1.545030446347030E+00, h =  5.891577599495123E-07
step =    25, newt =     1, ldw =  2.640301675290290E-01, h =  3.241103051985691E-07
step =    25, newt =     2, ldw =  3.338633178101812E-02, h =  3.241103051985691E-07
step =    26, newt =     1, ldw =  1.522350659042311E+00, h =  3.086307641305829E-07
step =    26, newt =     2, ldw =  6.814228576856886E-01, h =  3.086307641305829E-07
step =    26, newt =     3, ldw =  2.349473131292367E-01, h =  3.086307641305829E-07
step =    26, newt =     4, ldw =  5.210823998913975E-02, h =  3.086307641305829E-07
step =    27, newt =     1, ldw =  3.799990707411193E-01, h =  2.084878525660416E-07
step =    27, newt =     2, ldw =  5.457815646921323E-02, h =  2.084878525660416E-07
step =    28, newt =     1, ldw =  2.024286080740297E+00, h =  1.798336446621222E-07
step =    28, newt =     2, ldw =  7.826846012544822E-01, h =  1.798336446621222E-07
step =    28, newt =     3, ldw =  2.353500555462282E-01, h =  1.798336446621222E-07
step =    28, newt =     4, ldw =  4.530280229605301E-02, h =  1.798336446621222E-07
step =    29, newt =     1, ldw =  4.856578889289867E-01, h =  1.184950958849866E-07
step =    29, newt =     2, ldw =  5.712671518936909E-02, h =  1.184950958849866E-07
step =    30, newt =     1, ldw =  1.965058779880622E+00, h =  1.031979132088188E-07
step =    30, newt =     2, ldw =  5.583839431231045E-01, h =  1.031979132088188E-07
step =    30, newt =     3, ldw =  1.227945951527147E-01, h =  1.031979132088188E-07
step =    30, newt =     4, ldw =  1.725700353445325E-02, h =  1.031979132088188E-07
step =    31, newt =     1, ldw =  6.332650257972264E-01, h =  7.415329799060239E-08
step =    31, newt =     2, ldw =  7.159185197571510E-02, h =  7.415329799060239E-08
step =    32, newt =     1, ldw =  2.182971710365843E+00, h =  6.216749325826338E-08
step =    32, newt =     2, ldw =  5.107019541988799E-01, h =  6.216749325826338E-08
step =    32, newt =     3, ldw =  9.305787269147595E-02, h =  6.216749325826338E-08
step =    33, newt =     1, ldw =  9.301678868117234E-01, h =  4.843179380746314E-08
step =    33, newt =     2, ldw =  1.091900273414632E-01, h =  4.843179380746314E-08
step =    34, newt =     1, ldw =  2.318363930692459E+00, h =  3.670453510387579E-08
step =    34, newt =     2, ldw =  4.305895750078587E-01, h =  3.670453510387579E-08
step =    34, newt =     3, ldw =  6.362288570137736E-02, h =  3.670453510387579E-08
step =    35, newt =     1, ldw =  2.247998360604570E+00, h =  1.821592603516536E-08
step =    35, newt =     2, ldw =  2.775654255497899E-01, h =  1.821592603516536E-08
