
running 1 test
step(A) =    1, err =  3.727760587632517E-06, h_new =  5.213103499049211E-04, n_yes =   0, n_no =   1, h*lambda =  9.997470703052302E-02
step(A) =    2, err =  1.240953492565221E-02, h_new =  6.845425066483809E-04, n_yes =   0, n_no =   2, h*lambda =  5.212932725671368E-01
step(A) =    3, err =  2.688194416522675E-02, h_new =  9.558391963459037E-04, n_yes =   0, n_no =   3, h*lambda =  6.844363978417670E-01
step(A) =    4, err =  7.358690218642597E-02, h_new =  1.159977816137417E-03, n_yes =   0, n_no =   4, h*lambda =  9.551832656622222E-01
step(A) =    5, err =  7.734184510519691E-02, h_new =  1.453227956752059E-03, n_yes =   0, n_no =   5, h*lambda =  1.158113848817905E+00
step(A) =    6, err =  8.155247362357607E-02, h_new =  1.807875507566744E-03, n_yes =   0, n_no =   6, h*lambda =  1.449058825396815E+00
step(A) =    7, err =  6.439628755194876E-02, h_new =  2.346184573147208E-03, n_yes =   0, n_no =   7, h*lambda =  1.799776360951090E+00
step(A) =    8, err =  5.074827815242944E-02, h_new =  3.140779839561930E-03, n_yes =   0, n_no =   8, h*lambda =  2.330763902751608E+00
step(A) =    9, err =  5.307555787769205E-02, h_new =  4.132994048958958E-03, n_yes =   0, n_no =   9, h*lambda =  3.111350910816916E+00
step(A) =   10, err =  1.828230653883824E-01, h_new =  4.415275469087175E-03, n_yes =   1, n_no =   0, h*lambda =  4.079076160821990E+00
step(A) =   11, err =  9.983777781482974E-01, h_new =  3.713653838214340E-03, n_yes =   2, n_no =   0, h*lambda =  4.340439785236608E+00
step(R) =   12, err =  1.958559439661465E+00, h_new =  2.981361783315531E-03
step(A) =   13, err =  5.429798041882616E-01, h_new =  2.976567673106566E-03, n_yes =   2, n_no =   1, h*lambda =  2.922935427784793E+00
step(A) =   14, err =  2.604231783662490E-01, h_new =  3.286124999537922E-03, n_yes =   2, n_no =   2, h*lambda =  2.910250138590204E+00
step(A) =   15, err =  2.185708904387990E-01, h_new =  3.629301761797776E-03, n_yes =   2, n_no =   3, h*lambda =  3.203240293387299E+00
step(A) =   16, err =  3.190115285485447E-01, h_new =  3.732520464830527E-03, n_yes =   3, n_no =   0, h*lambda =  3.525998778100285E+00
step(A) =   17, err =  5.522585322563178E-01, h_new =  3.550035927658765E-03, n_yes =   4, n_no =   0, h*lambda =  3.613863991489044E+00
step(A) =   18, err =  7.044683881446998E-01, h_new =  3.311498010542711E-03, n_yes =   5, n_no =   0, h*lambda =  3.425947123554724E+00
step(A) =   19, err =  5.762683559832782E-01, h_new =  3.227566930138650E-03, n_yes =   5, n_no =   1, h*lambda =  3.185913475883028E+00
step(A) =   20, err =  3.923779967123939E-01, h_new =  3.331294038257659E-03, n_yes =   5, n_no =   2, h*lambda =  3.095782642828231E+00
step(A) =   21, err =  3.150183898278662E-01, h_new =  3.514686219593597E-03, n_yes =   5, n_no =   3, h*lambda =  3.185287472112490E+00
step(A) =   22, err =  3.399300730430000E-01, h_new =  3.628492873524443E-03, n_yes =   6, n_no =   0, h*lambda =  3.349542976403311E+00
step(A) =   23, err =  4.377868682190208E-01, h_new =  3.599230854916274E-03, n_yes =   7, n_no =   0, h*lambda =  3.446184457473290E+00
step(A) =   24, err =  5.314409248846307E-01, h_new =  3.489597785948703E-03, n_yes =   8, n_no =   0, h*lambda =  3.406762217147994E+00
step(A) =   25, err =  5.258363701602446E-01, h_new =  3.415792466048016E-03, n_yes =   9, n_no =   0, h*lambda =  3.292033490403430E+00
step(A) =   26, err =  4.464080548573433E-01, h_new =  3.436477991048701E-03, n_yes =   9, n_no =   1, h*lambda =  3.211875898654048E+00
step(A) =   27, err =  3.833585347434046E-01, h_new =  3.524783801346737E-03, n_yes =   9, n_no =   2, h*lambda =  3.220655297220887E+00
step(A) =   28, err =  3.745240530597944E-01, h_new =  3.607676997474531E-03, n_yes =  10, n_no =   0, h*lambda =  3.292190171398080E+00
step(A) =   29, err =  4.125127147932012E-01, h_new =  3.628983534445074E-03, n_yes =  11, n_no =   0, h*lambda =  3.357856986288300E+00
step(A) =   30, err =  4.629698432215407E-01, h_new =  3.593362582514143E-03, n_yes =  12, n_no =   0, h*lambda =  3.365788505508787E+00
