
running 1 test
step =     1, newt =     1, ldw =  5.713237318584358E-06, h =  1.000000000000000E-06
step =     2, newt =     1, ldw =  9.549126042124232E-10, h =  8.000000000000000E-06
step =     3, newt =     1, ldw =  1.411225363580558E-09, h =  6.400000000000000E-05
step =     4, newt =     1, ldw =  4.107820729172961E-05, h =  5.120000000000000E-04
step =     5, newt =     1, ldw =  7.224709706516977E-01, h =  4.096000000000000E-03
step =     5, newt =     2, ldw =  5.688537757889905E+01, h =  4.096000000000000E-03
step =     6, newt =     1, ldw =  5.535184873130312E-03, h =  2.048000000000000E-03
step =     7, newt =     1, ldw =  2.183312157041306E-01, h =  2.048000000000000E-03
step =     7, newt =     2, ldw =  7.939700994552124E+00, h =  2.048000000000000E-03
step =     8, newt =     1, ldw =  2.064385209642968E-02, h =  1.024000000000000E-03
step =     9, newt =     1, ldw =  1.851306702932678E+00, h =  1.024000000000000E-03
step =     9, newt =     2, ldw =  3.418799139342428E+02, h =  1.024000000000000E-03
step =    10, newt =     1, ldw =  1.511872801736419E+00, h =  5.120000000000000E-04
step =    10, newt =     2, ldw =  5.326319203666440E+02, h =  5.120000000000000E-04
step =    11, newt =     1, ldw =  2.833630003527899E-02, h =  2.560000000000000E-04
step =    12, newt =     1, ldw =  7.979474595956246E-01, h =  1.353638004672386E-04
step =    12, newt =     2, ldw =  1.318080076207844E+01, h =  1.353638004672386E-04
step =    13, newt =     1, ldw =  6.269531353120403E-01, h =  6.768190023361932E-05
step =    13, newt =     2, ldw =  7.885583465344126E+00, h =  6.768190023361932E-05
step =    14, newt =     1, ldw =  9.452759342347168E-02, h =  3.384095011680966E-05
step =    14, newt =     2, ldw =  3.703456575147211E-02, h =  3.384095011680966E-05
step =    15, newt =     1, ldw =  9.463250538246909E-02, h =  7.988264928398357E-06
step =    15, newt =     2, ldw =  1.982352214154815E-02, h =  7.988264928398357E-06
step =    16, newt =     1, ldw =  3.239954519605391E-01, h =  5.459710401840634E-06
step =    16, newt =     2, ldw =  2.855394028442613E-01, h =  5.459710401840634E-06
step =    17, newt =     1, ldw =  5.515365611883710E-02, h =  3.003522188671522E-06
step =    17, newt =     2, ldw =  7.214712288655393E-03, h =  3.003522188671522E-06
step =    18, newt =     1, ldw =  3.507451382445620E-01, h =  3.003522188671522E-06
step =    18, newt =     2, ldw =  2.488057504902582E-01, h =  3.003522188671522E-06
step =    19, newt =     1, ldw =  7.456625523529180E-02, h =  1.958863891429376E-06
step =    19, newt =     2, ldw =  1.437519505873908E-02, h =  1.958863891429376E-06
step =    20, newt =     1, ldw =  1.129088123793107E+00, h =  1.958863891429376E-06
step =    20, newt =     2, ldw =  1.305205610461479E+00, h =  1.958863891429376E-06
step =    21, newt =     1, ldw =  9.429573342566286E-02, h =  9.794319457146879E-07
step =    21, newt =     2, ldw =  1.277908234821347E-02, h =  9.794319457146879E-07
step =    22, newt =     1, ldw =  7.611003464369001E-01, h =  9.794319457146879E-07
step =    22, newt =     2, ldw =  4.432618503494946E-01, h =  9.794319457146879E-07
step =    23, newt =     1, ldw =  2.239261384052829E-01, h =  7.034057507633498E-07
step =    23, newt =     2, ldw =  4.821643900575767E-02, h =  7.034057507633498E-07
step =    24, newt =     1, ldw =  2.016291416558396E+00, h =  5.891577600070017E-07
step =    24, newt =     2, ldw =  1.545030446236857E+00, h =  5.891577600070017E-07
step =    25, newt =     1, ldw =  2.640301674527272E-01, h =  3.241103052301954E-07
step =    25, newt =     2, ldw =  3.338633177356556E-02, h =  3.241103052301954E-07
step =    26, newt =     1, ldw =  1.522350659488225E+00, h =  3.086307641888090E-07
